id,playtime_forever
0,0.118333333
1,0.7
2,0.57
3,0
4,1.598333333
5,0.433333333
6,0.486666667
7,0
8,0.021666667
9,5.393333333
10,1.368333333
11,0.25
12,0.398333333
13,0.828333333
14,3.003333333
15,0.418333333
16,1.705
17,0.208333333
18,5.865
19,1.765
20,0.133333333
21,7.823333333
22,0.191666667
23,0.935
24,0.735
25,0.403333333
26,0.61
27,0.43
28,4.356666667
29,1.803333333
30,0.058333333
31,86.28333333
32,0.353333333
33,0.808333333
34,4.23
35,1.171666667
36,2.69
37,20.2
38,6.053333333
39,0.733333333
40,0.328333333
41,0.666666667
42,1.551666667
43,0
44,0.836666667
45,0.601666667
46,0
47,0.345
48,0.633333333
49,1.665
50,6.641666667
51,0
52,1.133333333
53,0.228333333
54,3.02
55,0.348333333
56,0.525
57,0.458333333
58,0.5
59,0.188333333
60,0.128333333
61,0.091666667
62,0.09
63,20.02666667
64,0.215
65,0.561666667
66,0.238333333
67,0.056666667
68,4.49
69,0.176666667
70,0.135
71,3.665
72,1.748333333
73,7.343333333
74,1.073333333
75,42.19166667
76,7.758333333
77,2.743333333
78,0.643333333
79,0.163333333
80,18.86833333
81,0.218333333
82,0.14
83,1.061666667
84,3.943333333
85,0.416666667
86,0.428333333
87,0.773333333
88,0.448333333
89,2.918333333
